ID,Nom,LieuDit,Bassin,DateDebut,DateFin,Type,Altitude,Latitude,Longitude
8089003,BUZANCY (BUZANCY_SAPC),,H117,2007-01-01 00:00:00,,2,199,49.42733333333333,4.9645
8101002,LA CHAPELLE,DOUANES,B500,1991-10-01 00:00:00,2002-12-31 00:00:00,2,396,49.766666666666666,5.041666666666667
8105005,TOURNES (CHARLEVILLE-MEZ),AEROD.,B557,1990-01-01 00:00:00,,0,145,49.782833333333336,4.643166666666667
8105007,CHARLEVILLE-MEZIERES (CHARLEVILLE-MEZIERES-SPC),SPC-222-Charleville-Mézières,B540,2004-08-01 00:00:00,,5,152,49.76,4.716666666666667
8116001,BAIRON ET SES ENVIRONS (LE CHESNE),VILLAGE,B513,1873-05-01 00:00:00,,2,168,49.510333333333335,4.766166666666667
8122002,CHOOZ (CHOOZ-SPC),SPC-223-Chooz,B720,2004-08-01 00:00:00,,5,105,50.0925,4.806333333333333
8145001,DOUZY,AERODROME,B321,2002-05-29 00:00:00,,1,153,49.658,5.039833333333333
8190001,GIVET,,B733,2005-06-07 00:00:00,2014-09-16 00:00:00,1,165,50.14383333333333,4.842833333333333
8207001,HAM-SUR-MEUSE,ECL.,B720,1939-01-01 00:00:00,,2,109,50.116,4.7795
8239001,JUNIVILLE,Station d'épuration,H136,1900-01-01 00:00:00,,2,90,49.397333333333336,4.371666666666667
8239002,JUNIVILLE,COOP.AGRIC.,H136,1991-06-01 00:00:00,2003-03-31 00:00:00,2,98,49.391666666666666,4.395
8244001,LAMETZ (LAMETZ_SAPC),,NR,2017-08-16 00:00:00,,2,165,49.53666666666667,4.689666666666667
8247001,LANDRICHAMPS (LANDRICHAMPS-SPC),SPC-222-Landrichamps,B732,2004-08-01 00:00:00,,5,141,50.08433333333333,4.8265
8248002,LAUNOIS-SUR-VENCE (LAUNOIS-SUR-VENCE_SAPC),,B530,2009-03-04 00:00:00,,2,218,49.67183333333333,4.534666666666666
8254002,LIART (LIART_SAPC),,NR,2016-09-08 00:00:00,,2,240,49.7655,4.340333333333334
8255001,LINAY,VLGE,B463,1983-01-01 00:00:00,,2,177,49.61683333333333,5.216833333333334
8296002,MONTCHEUTIN (MONTCHEUTIN_SAPC),,H120,2007-01-01 00:00:00,,2,142,49.287333333333336,4.809666666666667
8302003,MONTHERME,LES HAUTS BUTTES.HOSP.,B700,1975-10-01 00:00:00,2002-01-31 00:00:00,2,461,49.91666666666666,4.766666666666667
8302004,MONTHERME (MONTHERME-SPC),SPC-222-Montherme,B700,2004-08-01 00:00:00,,5,143,49.88016666666667,4.731
8303001,MONTHOIS,COOP.AGRIC.,H120,1991-10-01 00:00:00,2003-03-31 00:00:00,2,126,49.316833333333335,4.711833333333334
